step,time,avg_wind_speed,avg_tke,max_velocity,min_velocity
1,0.01,23.12305052018621,346.60305955031913,30.000000000000007,0.0
2,0.02,23.122330088808624,346.6117784662934,30.000000000000007,0.0
3,0.03,23.121580328339732,346.71273319282204,30.000000000000007,0.0
4,0.04,23.12076311724737,346.6324089379027,30.000000000000007,0.0
5,0.05,23.1199368445135,346.6323770848427,30.000000000000007,0.0
6,0.060000000000000005,23.11911504713232,346.6324156616392,30.000000000000007,0.0
7,0.07,23.11829689996653,346.63243084915496,30.000000000000007,0.0
8,0.08,23.117482428655038,346.63242334899803,30.000000000000007,0.0
9,0.09,23.116671572180294,346.63245295784554,30.000000000000007,0.0
10,0.09999999999999999,23.11586420760143,346.632526940612,30.000000000000007,0.0
11,0.10999999999999999,23.115060243456867,346.6326364815816,30.000000000000007,0.0
12,0.11999999999999998,23.114259618406003,346.6327764041134,30.00000000000001,0.0
13,0.12999999999999998,23.113462281824955,346.63294440315684,30.000000000000007,0.0
14,0.13999999999999999,23.112668188218638,346.63313938825695,30.00000000000001,0.0
15,0.15,23.111877294709338,346.63336071704134,30.000000000000007,0.0
16,0.16,23.111089560712905,346.6336079076649,30.000000000000007,0.0
17,0.17,23.110304941320067,346.6338805378243,30.000000000000007,0.0
18,0.18000000000000002,23.109523396666425,346.63417820959495,30.000000000000007,0.0
19,0.19000000000000003,23.10874488545954,346.6345005371262,30.000000000000007,0.0
20,0.20000000000000004,23.107969368063564,346.6348471432252,30.000000000000007,0.0
21,0.21000000000000005,23.107196805412176,346.63521765730025,30.000000000000007,0.0
22,0.22000000000000006,23.1064271595106,346.6356117150359,30.000000000000007,0.0
23,0.23000000000000007,23.105660393246893,346.63602895793906,30.000000000000007,0.0
24,0.24000000000000007,23.104896470020073,346.63646903320773,30.000000000000007,0.0
25,0.25000000000000006,23.10413535374962,346.636931593625,30.000000000000007,0.0
26,0.26000000000000006,23.10337700949243,346.6374162971612,30.000000000000007,0.0
27,0.2700000000000001,23.102621409462635,346.6379228026835,30.000000000000007,0.0
28,0.2800000000000001,23.101868519076188,346.63845077851886,30.000000000000007,0.0
29,0.2900000000000001,23.10111830200007,346.63899989706476,30.000000000000007,0.0
30,0.3000000000000001,23.100370724549002,346.63956983651656,30.000000000000007,0.0
